name,value,year,lastValue,rank
Jordan,214480,2018,211447.400000003,1
Jordan,211447.400000003,2017.9,208414.799999999,1
Jordan,208414.799999999,2017.8,205382.200000001,1
Jordan,205382.200000001,2017.7,202349.599999997,1
Jordan,202349.599999997,2017.6,199317,1
Jordan,199317,2017.5,196284.400000003,1
Jordan,196284.400000003,2017.4,193251.799999999,1
Jordan,193251.799999999,2017.3,190219.200000001,1
Jordan,190219.200000001,2017.2,187186.599999997,1
Jordan,187186.599999997,2017.1,184154,1
Jordan,184154,2017,183550.500000001,1
Jordan,183550.500000001,2016.9,182947,1
Jordan,182947,2016.8,182343.5,1
Jordan,182343.5,2016.7,181739.999999999,1
Jordan,181739.999999999,2016.6,181136.5,1
Jordan,181136.5,2016.5,180533.000000001,1
Jordan,180533.000000001,2016.4,179929.5,1
